Age	pCO2_max	pCO2	pCO2_min	Study
0.02	250.54	247.28	238.68	Stolletal2019
0.03	215.56	204.34	182.77	Stolletal2019
0.03	262.61	263.5	262.39	Stolletal2019
0.04	223.75	217.82	204.9	Stolletal2019
0.06	233.38	227.31	213.98	Stolletal2019
0.07	311.02	326.87	355.25	Stolletal2019
0.09	300.66	312.08	331.29	Stolletal2019
0.11	294.41	302.89	316.19	Stolletal2019
0.11	307.89	320.92	343.35	Stolletal2019
0.13	306.82	318.82	339.1	Stolletal2019
0.15	242.54	235.54	220.49	Stolletal2019
0.16	246.75	243.24	234.24	Stolletal2019
0.17	286.31	296.87	314.57	Stolletal2019
0.2	324.71	343.19	376.91	Stolletal2019
0.25	169.97	157.81	135.8	Stolletal2019
0.31	254.9	252.58	245.63	Stolletal2019
0.43	164.84	144.44	111.34	Stolletal2019
0.46	198.52	186.82	164.83	Stolletal2019
0.58	207.33	190.82	161.36	Stolletal2019
0.9	161.43	144.54	116.1	Stolletal2019
0.93	179.68	161.81	131.38	Stolletal2019
1	190.73	170.64	136.78	Stolletal2019
1.05	206.32	191.83	165.41	Stolletal2019
1.19	264.63	264.63	261.81	Stolletal2019
1.2	237.74	230.59	215.35	Stolletal2019
1.21	233	222.54	201.86	Stolletal2019
1.22	250.34	244.85	232.3	Stolletal2019
1.23	265.23	262.96	255.93	Stolletal2019
1.25	180.29	162.37	131.82	Stolletal2019
1.27	226.14	214.81	192.87	Stolletal2019
1.28	198.4	181.82	152.53	Stolletal2019
1.3	255.15	244.44	222.91	Stolletal2019
1.35	275.6	278.12	279.91	Stolletal2019
1.5	277.74	275.05	267.05	Stolletal2019
1.64	196.84	184.69	162.07	Stolletal2019
1.73	235.56	225.8	206.23	Stolletal2019
1.75	252.93	245.36	229.14	Stolletal2019
1.97	227.1	214.62	190.8	Stolletal2019
2.09	284.18	288.29	293.04	Stolletal2019
2.11	216.69	202.32	175.81	Stolletal2019
2.19	291.26	294.5	297.47	Stolletal2019
2.3	311.44	325.38	349.65	Stolletal2019
2.31	266.08	257.28	238.75	Stolletal2019
2.4	332.12	352.77	391.11	Stolletal2019
2.59	299.21	308.14	322.25	Stolletal2019
2.59	242.97	229.65	204.16	Stolletal2019
2.6	216.03	202.5	177.28	Stolletal2019
2.72	248.18	241.09	225.78	Stolletal2019
2.79	289.4	287.2	279.94	Stolletal2019
2.82	286.24	275.06	252.18	Stolletal2019
2.89	301.19	300.67	296.34	Stolletal2019
2.94	222.39	208.14	181.69	Stolletal2019
2.94	301.27	303.74	305.04	Stolletal2019
2.99	386.95	416.05	471.74	Stolletal2019
3.07	318.15	323.59	330.39	Stolletal2019
3.08	314.03	327.74	351.48	Stolletal2019
3.12	323.66	323.67	319.98	Stolletal2019
3.13	251.93	245.13	230.27	Stolletal2019
3.17	331.78	343.26	361.98	Stolletal2019
3.23	308.02	311.71	315.24	Stolletal2019
3.32	307.33	317.94	335.32	Stolletal2019
3.36	260.53	259.33	254.35	Stolletal2019
3.46	318.2	332.71	358.05	Stolletal2019
3.51	507.46	618.64	889.9	Stolletal2019
3.52	339.25	362.29	405.75	Stolletal2019
3.62	414.34	455.36	538.17	Stolletal2019
3.67	338.98	363.73	411.06	Stolletal2019
3.85	278.55	279.27	277.61	Stolletal2019
3.85	394.96	425.54	484.39	Stolletal2019
3.93	344.38	356.02	374.81	Stolletal2019
3.99	300.69	309.09	322.1	Stolletal2019
4.01	552.93	649.66	870.87	Stolletal2019
4.03	339.98	342.93	344.54	Stolletal2019
4.11	347.21	373.01	422.51	Stolletal2019
4.11	445.24	485.91	566.49	Stolletal2019
4.34	480.81	536.57	652.5	Stolletal2019
4.43	403.6	434	492.15	Stolletal2019
4.45	460.14	537.56	713.36	Stolletal2019
4.58	427.48	466.67	544.46	Stolletal2019
4.78	391.7	436.88	531.18	Stolletal2019
4.78	295.32	291.08	280.04	Stolletal2019
4.86	309.61	311.17	310.59	Stolletal2019
4.94	333.66	342.05	354.44	Stolletal2019
5	477.4	543.85	687.79	Stolletal2019
5.04	320.28	319.89	315.5	Stolletal2019
5.19	347.87	351.95	355.62	Stolletal2019
6	554.17	661.74	914.78	Stolletal2019
7	661.18	834.8	1282.22	Stolletal2019
7.15	453.24	532.65	714.92	Stolletal2019
8	306.26	303.25	294.25	Stolletal2019
9.31	508.84	591.45	776.99	Stolletal2019
9.32	508.84	591.45	776.99	Stolletal2019
10.33	350.75	362.5	381.41	Stolletal2019
11.2	395.36	424.35	479.54	Stolletal2019
12.46	464.47	524.55	652.59	Stolletal2019
13.1	446.36	497.8	604.79	Stolletal2019
14.1	320.41	341.21	380.18	Stolletal2019
14.36	749.57	984.64	1629.96	Stolletal2019
14.74	658.88	866.83	1439.93	Stolletal2019
15.76	1011.11	1459.86	2889.24	Stolletal2019
15.84	541.89	669.52	987.69	Stolletal2019
16.82	540.76	666.68	979.5	Stolletal2019
18.26	578.51	729.26	1117.41	Stolletal2019
20.3	380.86	420.88	502.85	Stolletal2019
22.94	795.85	1109.47	2056.13	Stolletal2019
25.13	837.68	591.52	509.52	Paganietal2005
25.2	488.32	356.23	316.09	Paganietal2005
25.29	500.5	364.41	322.75	Paganietal2005
25.3	506	416	386	Zhangetal2013
26.05	615.31	443.27	388.74	Paganietal2005
26.1	570.24	412.67	363.43	Paganietal2005
26.13	551.63	397.77	349.04	Paganietal2005
26.51	502.92	364.95	322.17	Paganietal2005
26.57	825	656	588	Zhangetal2013
27.09	846.54	582.07	499.48	Paganietal2005
27.44	772.19	535.1	462.35	Paganietal2005
27.85	914	712	626	Zhangetal2013
28.56	609.66	438.16	383.36	Paganietal2005
28.72	544.47	383.27	335.74	Paganietal2005
28.78	910	730	662	Zhangetal2013
28.94	728.48	518.65	449.98	Paganietal2005
29.21	1040	854	792	Zhangetal2013
29.54	451.17	320.9	283.82	Paganietal2005
29.57	1179	972	905	Zhangetal2013
29.64	1106	895	818	Zhangetal2013
30.03	702.68	502.58	437.9	Paganietal2005
30.06	522.3	379.75	335.91	Paganietal2005
30.17	740.2	529.78	462.01	Paganietal2005
30.18	813.17	579.08	502.76	Paganietal2005
30.33	471.01	333.45	293.59	Paganietal2005
30.61	774.59	553.22	481.56	Paganietal2005
30.62	932	765	709	Zhangetal2013
31.27	894	725	664	Zhangetal2013
32.04	906	743	688	Zhangetal2013
32.15	1678.12	1157.98	961.87	Paganietal2005
32.58	925	756	698	Zhangetal2013
32.59	685.99	587.33	501.64	Paganietal2011
32.71	1228.25	847.08	715.44	Paganietal2005
32.83	923	740	671	Zhangetal2013
32.91	904	723	654	Zhangetal2013
32.95	1189.48	831.89	698.02	Paganietal2005
32.95	1567.18	1071.19	881.75	Paganietal2005
32.97	912	727	653	Zhangetal2013
32.97	950.25	676.13	575.96	Paganietal2005
33.09	525.03	453.45	390.07	Paganietal2011
33.11	1794.81	1231.87	1018.82	Paganietal2005
33.38	647.59	554.33	473.2	Paganietal2011
33.45	950	767	698	Zhangetal2013
33.57	832	671	612	Zhangetal2013
33.69	1234	930	792	Zhangetal2013
34.07	705.83	600.97	510.63	Paganietal2011
34.11	1568.41	1092.71	917.43	Paganietal2005
34.37	1268.17	901.3	769.41	Paganietal2005
34.61	936.54	789.99	666.57	Paganietal2011
34.69	1278	1038	953	Zhangetal2013
34.81	1270.45	872.28	768.71	Paganietal2005
35.12	920.63	779.15	659.39	Paganietal2011
35.19	976.66	709.49	617.37	Paganietal2005
35.29	1073	879	813	Zhangetal2013
35.41	1101.23	785.73	672.62	Paganietal2005
35.56	1155	919	825	Zhangetal2013
35.6	959	808.48	681.93	Paganietal2011
35.79	1365.13	968.16	825.25	Paganietal2005
35.86	1150	947	881	Zhangetal2013
36	1074.27	767.69	658.05	Paganietal2005
36.09	1402	1132	1032	Zhangetal2013
36.11	777.01	662.6	564.16	Paganietal2011
36.61	892.61	754.63	637.86	Paganietal2011
36.81	1617	1247	1087	Zhangetal2013
37.01	1132.69	807.03	688.92	Paganietal2005
37.1	1136	939	877	Zhangetal2013
37.16	1092.94	908.65	757.37	Paganietal2011
37.43	1309	1042	938	Zhangetal2013
38.25	1137	898	802	Zhangetal2013
38.55	975	798	737	Zhangetal2013
38.62	1116	863	754	Zhangetal2013
42.53	1333.06	996.05	844.77	Paganietal2005
42.65	2195.72	1479.91	1202.25	Paganietal2005
43.15	1495.64	1041.03	872.96	Paganietal2005
44.46	1691.08	1176.19	986.63	Paganietal2005
