age	CO2	CO2do	CO2up
33.0	573	93	119
33.2	734	117	155
33.3	931	165	188
33.4	964	167	227
33.6	722	120	132
34.0	952	175	193
34.2	1008	171	220
34.4	990	205	274
34.6	837	176	239
35.61	910	160	181
36.40	872	157	199
36.9	805	186	233
36.96	883	139	191
36.96	831	147	168
37.64	814	204	334
38.11	899	160	209
38.78	893	157	156
38.78	887	153	170
38.78	950	173	208
38.78	948	180	192
39.12	791	125	150
39.33	900	149	180
39.45	788	160	189
39.45	946	152	196
39.81	1082	181	233
39.91	893	136	175
39.96	930	150	176
39.98	870	146	163
40.00	898	158	172
40.03	1061	183	211
40.06	1186	203	277
40.09	1370	250	310
40.11	1201	200	223
40.14	1408	264	290
40.14	1351	259	298
40.17	1860	366	499
40.24	940	162	185
40.25	958	163	178
40.25	967	166	219
40.3	681	122	149
40.31	964	168	168
40.34	1002	163	185
40.38	913	160	181
40.39	945	149	193
40.52	1014	183	222
40.52	943	157	184
40.63	1136	189	229
40.65	902	149	186
40.81	1097	196	236
40.92	865	143	177
40.92	948	166	183
40.93	919	158	172
41.01	1178	193	242
41.13	865	151	163
41.47	963	181	196
41.53	837	143	170
41.80	791	135	147
42.39	886	149	185
43.07	945	174	200
43.07	955	160	182
43.38	858	143	155
43.74	1044	162	202
43.76	1019	182	207
44.4	967	176	196
44.54	1064	181	209
44.83	927	149	189
44.87	1015	188	197
44.87	1024	171	208
44.87	895	153	187
44.87	874	153	185
45.20	959	154	176
45.20	1116	198	235
45.6	1117	218	236
45.70	848	124	132
45.75	1030	175	197
46.32	1005	172	205
46.57	1084	178	191
46.66	962	154	188
47.33	1070	163	193
47.50	1420	262	308
48.02	1137	197	201
48.02	1039	185	216
48.11	985	222	274
48.14	1908	364	472
49.00	1755	328	414
49.13	1185	211	255
49.82	1116	208	257
49.83	1227	211	266
49.99	1477	342	401
49.99	1492	361	478
50.54	2128	540	690
50.59	2157	592	898
50.60	2118	535	667
50.60	2276	637	912
50.62	2165	559	739
50.68	1736	418	488
50.71	1157	211	221
50.86	1135	187	235
51.29	1882	451	581
51.60	1124	251	330
51.63	1276	301	365
51.63	1345	327	444
51.66	1671	436	533
51.66	1489	354	416
51.66	1408	323	419
51.71	1912	491	668
51.98	1285	218	287
51.98	1012	171	207
52.88	1284	284	389
52.88	940	207	252
53.2	1431	268	335
53.63	1028	179	215
53.87	869	197	228
53.94	695	159	178
53.95	1054	230	285
53.96	810	151	197
53.96	887	235	310
53.97	577	93	124
53.97	1002	344	550
53.99	1090	313	416
54.01	872	176	214
54.02	1305	346	474
54.03	1498	345	403
54.04	1214	232	324
54.04	875	211	215
54.04	980	160	174
54.05	488	142	186
54.05	607	181	272
54.05	744	123	137
54.05	2335	822	1705
54.05	1213	289	372
54.05	996	366	557
54.05	647	100	130
54.05	1025	418	791
54.05	747	143	179
54.05	1389	442	723
54.05	815	153	194
54.05	645	102	127
54.05	564	98	118
54.05	579	151	213
54.06	495	93	123
54.06	483	126	144
54.07	548	130	168
54.08	570	98	115
54.09	527	183	362
54.68	648	97	123
55.39	1337	303	439
55.42	1341	274	388
55.44	1475	338	431
55.49	1156	246	363
55.51	1692	360	499
55.52	1436	389	556
55.54	797	127	163
55.54	952	176	231
55.56	997	199	248
55.59	867	176	219
55.61	1004	195	242
55.64	1138	237	329
55.66	1046	214	279
55.68	1388	294	376
55.68	1069	179	214
55.70	982	223	250
55.72	1478	451	678
55.73	1410	281	353
55.74	1997	539	749
55.75	974	216	252
55.76	1258	461	951
55.78	1152	297	423
55.79	1232	266	297
55.80	2037	437	598
55.81	1192	287	346
55.82	1201	266	345
55.83	1140	207	248
55.84	1933	395	540
55.84	1875	556	828
55.84	990	197	220
55.85	1964	724	1325
55.88	2901	948	1612
55.88	1732	387	489
55.89	1532	345	493
55.90	1968	520	644
55.91	818	182	241
55.92	1091	189	215
55.92	798	247	451
55.93	685	127	172
55.94	1172	272	366
55.96	898	196	252
55.98	818	173	240
56.02	961	238	294
56.04	1288	299	361
56.05	805	171	210
56.07	946	167	191
56.10	1090	263	329
56.13	817	171	270
56.34	546	139	232
			
			
			
			
