#using CO2 from Dana Dec2016						
Age	Age.er	CO2	do.er	up.er	er	method
0.95	0.038	244.1667	153.0163	403.086	125.0348	psols
1.07	0.0428	213.8478	134.0158	353.0335	109.5089	psols
1.16	0.0464	334.6665	209.7313	552.4887	171.3787	psols
1.23	0.0492	216.528	135.6954	357.4582	110.8814	psols
1.48	0.0592	210.0866	131.6587	346.8243	107.5828	psols
1.48	0.0592	238.9451	149.7439	394.4657	122.3609	psols
1.52	0.0608	302.6087	189.6411	499.5657	154.9623	psols
1.56	0.0624	229.9756	144.1229	379.6584	117.7677	psols
1.56	0.0624	281.728	176.5555	465.0945	144.2695	psols
1.64	0.0656	207.4455	130.0035	342.4642	106.2303	psols
1.64	0.0656	246.5004	154.4787	406.9385	126.2299	psols
1.73	0.0692	238.7027	149.592	394.0655	122.2368	psols
1.82	0.0728	229.8261	144.0292	379.4115	117.6912	psols
1.94	0.0776	251.6517	157.707	415.4426	128.8678	psols
1.94	0.0776	307.0511	192.4251	506.8995	157.2372	psols
2.12	0.0848	299.14	187.4673	493.8393	153.186	psols
2.12	0.0848	299.7618	187.857	494.8659	153.5044	psols
2.14	0.0856	277.5385	173.9299	458.1782	142.1241	psols
2.2	0.088	337.6221	211.5836	557.368	172.8922	psols
2.26	0.0904	341.8005	214.2021	564.266	175.0319	psols
2.26	0.0904	386.9812	242.5163	638.8531	198.1684	psols
2.34	0.0936	405.306	254.0003	669.1049	207.5523	psols
2.56	0.1024	385.0266	241.2914	635.6264	197.1675	psols
2.56	0.1024	399.7628	250.5264	659.9537	204.7137	psols
5	0.2	324	162	648	243	psols
5.5	0.22	222	112	524	206	psols
6.4	0.256	213.2518	117.6052	375.9591	129.177	psols
6.65	0.266	283.1703	154.0422	531.1711	188.5644	psols
6.8	0.272	371.5013	227.0504	663.4965	218.223	psols
7.1	1.8	468	234	936	351	psols
7.66	0.13	292	146	584	219	psols
8.75	0.35	273.7877	173.1984	476.1187	151.4601	psols
9	2	204	102	408	153	psols
10.55	0.65	448	224	896	336	psols
12.7	0.508	267.1474	130.7894	624.4071	246.8089	psols
12.8	0.512	273.3352	192.5341	354.1364	80.8012	psols
13	2	296	148	592	222	psols
13.14	0.5256	369.9009	186.7322	553.0696	183.1687	psols
15.61	0.6244	472.9987	425.2547	520.7427	47.744	psols
15.98	0.6392	333.2807	281.4754	385.086	51.8053	psols
16.13	0.6452	288.6996	231.1968	346.2025	57.5028	psols
17.5	0.7	260.5952	125.3709	609.4522	242.0406	psols
17.8	0.712	237	73	1017	472	psols
18.2	0.728	274	183	400	108.5	psols
21	0.84	312	156	624	234	psols
23	0.92	203.0026	97.103	492.5105	197.7037	psols
25.55	2.55	588	294	1176	441	psols
34.17	1.3668	399.28	126.96	671.6	272.32	psols
45	1.8	780	390	1560	585	psols
50.4846	2.0194	683.761	574.359	806.838	116.2395	psols
50.7313	2.0293	396.581	246	533.333	143.6665	psols
51.1101	2.0444	1285.47	1025.64	1531.62	252.99	psols
51.14	0.1	725	640	800	80	psols
51.2335	2.0493	1353.85	1258.12	1449.57	95.725	psols
51.3744	2.055	970.94	834.188	1107.69	136.751	psols
51.4626	2.0585	1709.4	1435.9	2000	282.05	psols
51.5154	2.0606	1299.15	1066.67	1490.6	211.965	psols
51.7797	2.0712	902.564	738.462	1067	164.269	psols
51.84	0.1	1210	1030	1400	185	psols
51.9	0.1	1260	1075	1440	182.5	psols
51.9824	2.0793	300.855	218.803	382.906	82.0515	psols
52.57	0.1	750	630	880	125	psols
52.81	0.1	400	275	530	127.5	psols
54.166	0.3	813.6	406.8	1627.2	610.2	psols
54.856	0.3	230.8	115.4	461.6	173.1	psols
55.5	0.5	328	164	656	246	psols
56.166	0.3	460.8	230.4	921.6	345.6	psols
56.491	0.3	486.8	243.4	973.6	365.1	psols
56.5	0.5	428	214	856	321	psols
56.709	0.3	579.2	289.6	1158.4	434.4	psols
57.309	0.3	816.4	408.2	1632.8	612.3	psols
57.72	0.3	474	237	948	355.5	psols
63.6	2.544	234.6482	188.189	281.1074	46.4592	psols
