Age	CO2	CO2do	CO2up	Study	
#DelaVega data includes Martinez-Boti et al. 2015 data recalculated. G. ruber					
2337.82	311.72	271.28	361.38	DelaVega2020	
2346.71	311.36	261.36	364.33	DelaVega2020	
2352.72	302.54	254.48	354.00	DelaVega2020	
2372.2	391.11	340.57	444.85	DelaVega2020	
2381.29	358.07	290.27	414.99	DelaVega2020	
2389.32	367.79	305.54	428.87	DelaVega2020	
2410.92	275.33	232.50	320.55	DelaVega2020	
2424.89	326.63	278.12	379.57	DelaVega2020	
2451.23	315.30	256.78	367.59	DelaVega2020	
2474.49	334.92	283.26	392.99	DelaVega2020	
2500.4	351.33	305.40	411.44	DelaVega2020	
2501.4	358.50	308.96	412.98	DelaVega2020	
2521.93	249.23	209.30	283.35	DelaVega2020	
2545.15	328.13	276.21	379.27	DelaVega2020	
2561.9	300.53	264.05	339.38	DelaVega2020	
2579.43	328.47	280.56	383.10	DelaVega2020	
2594.84	355.93	293.28	411.38	DelaVega2020	
2615.07	277.38	235.94	317.23	DelaVega2020	
2624.5	303.60	252.01	350.54	DelaVega2020	
2630.91	250.21	210.34	291.09	DelaVega2020	
2648.26	283.57	243.70	318.30	DelaVega2020	
2664.7	300.79	252.86	347.61	DelaVega2020	
2673.02	262.27	227.33	298.06	DelaVega2020	
2680.36	316.53	271.95	355.36	DelaVega2020	
2686.56	283.80	241.64	333.04	DelaVega2020	
2695.16	276.55	235.56	320.93	DelaVega2020	
2700.04	237.75	196.82	276.26	DelaVega2020	
2703.2	317.68	274.59	369.06	DelaVega2020	
2707.21	266.27	227.01	305.74	DelaVega2020	
2745.52	336.56	279.86	388.50	DelaVega2020	
2751.48	318.78	272.08	375.02	DelaVega2020	
2764.19	350.30	296.58	402.95	DelaVega2020	
2777.48	277.04	239.19	321.17	DelaVega2020	
2798.54	282.71	245.43	322.72	DelaVega2020	
2830.18	315.58	258.58	367.83	DelaVega2020	
2831.68	358.53	298.45	422.89	DelaVega2020	
2838.9	377.31	329.70	437.42	DelaVega2020	
2849.18	307.26	254.60	366.72	DelaVega2020	
2858.32	426.55	364.38	503.33	DelaVega2020	
2912.38	358.25	302.50	417.67	DelaVega2020	
2923.56	365.09	314.52	424.71	DelaVega2020	
2941.58	329.99	280.48	374.81	DelaVega2020	
2950.49	346.28	298.57	406.06	DelaVega2020	
2951.16	404.33	345.83	496.93	DelaVega2020	
2959.6	339.39	286.02	390.06	DelaVega2020	
2978.07	324.45	268.70	378.54	DelaVega2020	
3002.81	356.63	297.93	405.83	DelaVega2020	
3011	348.90	298.83	396.92	DelaVega2020	
3027.58	368.68	311.46	428.80	DelaVega2020	
3042.66	401.33	345.03	465.97	DelaVega2020	
3050.02	400.68	346.78	456.10	DelaVega2020	
3059.03	351.27	298.78	407.45	DelaVega2020	
3062.96	397.28	326.73	478.91	DelaVega2020	
3066.54	367.49	311.24	424.69	DelaVega2020	
3091.18	327.51	279.92	371.49	DelaVega2020	
3100.18	310.58	270.39	356.13	DelaVega2020	
3114.24	380.73	330.43	454.26	DelaVega2020	
3133.15	335.57	287.10	392.89	DelaVega2020	
3143.17	320.81	270.39	376.48	DelaVega2020	
3149.8	282.21	230.69	323.89	DelaVega2020	
3151.9	385.93	297.55	473.71	DelaVega2020	
3152.24	352.24	297.43	421.96	DelaVega2020	
3153.05	337.37	268.65	412.39	DelaVega2020	
3155.33	313.45	259.94	361.23	DelaVega2020	
3156.8	462.08	400.09	533.42	DelaVega2020	
3157.94	332.82	277.34	395.39	DelaVega2020	
3158.75	323.62	265.95	371.18	DelaVega2020	
3160.05	329.31	284.16	396.05	DelaVega2020	
3161.92	406.15	335.28	485.97	DelaVega2020	
3163.14	358.91	289.07	419.14	DelaVega2020	
3171.55	432.91	364.93	503.47	DelaVega2020	
3179.79	372.75	314.27	441.86	DelaVega2020	
3181.53	302.25	255.41	351.26	DelaVega2020	
3185.27	339.44	275.05	402.40	DelaVega2020	
3186.41	478.96	384.61	572.26	DelaVega2020	
3189.19	280.01	236.94	319.67	DelaVega2020	
3190.83	394.89	324.72	477.06	DelaVega2020	
3195.95	424.52	361.44	504.70	DelaVega2020	
3198.73	319.22	269.22	369.19	DelaVega2020	
3202.88	343.86	293.01	391.64	DelaVega2020	
3205.3	435.92	355.68	558.23	DelaVega2020	
3208.31	363.67	306.30	445.43	DelaVega2020	
3209.38	321.34	270.45	382.03	DelaVega2020	
3211.02	381.96	321.46	456.52	DelaVega2020	
3216.14	348.87	284.78	408.06	DelaVega2020	
3220.06	389.40	317.40	462.34	DelaVega2020	
3223.98	379.35	310.47	467.87	DelaVega2020	
3224.6	364.73	306.31	434.94	DelaVega2020	
3230.61	422.85	349.37	519.37	DelaVega2020	
3233.02	304.47	250.31	365.68	DelaVega2020	
3236.04	364.82	305.91	435.11	DelaVega2020	
3239.89	412.63	339.58	489.99	DelaVega2020	
3242.93	340.61	293.57	396.06	DelaVega2020	
3245.81	310.63	265.49	357.78	DelaVega2020	
3247.82	394.18	326.67	485.62	DelaVega2020	
3254.13	354.41	290.06	417.84	DelaVega2020	
3259.58	331.13	279.67	399.36	DelaVega2020	
3260.77	372.38	299.72	445.11	DelaVega2020	
3268.07	354.63	305.32	419.16	DelaVega2020	
3270.17	349.70	282.94	419.39	DelaVega2020	
3278.7	393.93	327.88	489.56	DelaVega2020	
3280.6	302.47	261.99	351.41	DelaVega2020	
3286.67	307.31	267.79	354.87	DelaVega2020	
3290.24	360.37	289.16	431.25	DelaVega2020	
3293.11	302.48	258.98	348.89	DelaVega2020	
3296.43	394.34	318.10	471.79	DelaVega2020	
3299.45	384.40	313.97	459.36	DelaVega2020	
3302.61	460.72	379.23	557.87	DelaVega2020	
3304.12	413.95	335.80	485.72	DelaVega2020	
3310.76	408.21	339.04	464.23	DelaVega2020	
3314.6	415.32	355.50	498.41	DelaVega2020	
3317.52	323.27	261.79	380.73	DelaVega2020	
3320.3	369.92	317.44	438.15	DelaVega2020	
3323.22	296.17	252.45	354.01	DelaVega2020	
3326.14	421.86	349.06	494.03	DelaVega2020	
3329.2	327.09	273.83	381.13	DelaVega2020	
3332.13	314.17	266.67	374.91	DelaVega2020	
#Bartoli et al. 2011 data recalcuated by Sosdian et al. 2018; T. sacculifer					
1975.13	258.23	224.78	296.97	Bartoli2011	
2026.54	292.30	255.18	335.34	Bartoli2011	
2078.09	266.90	231.80	307.74	Bartoli2011	
2161.01	253.94	221.22	291.86	Bartoli2011	
2166.04	368.70	318.84	427.08	Bartoli2011	
