SOURCE	Age	CO2.2.5	CO2.16	CO2.50	CO2.84	CO2.97.5
SOSDIAN	1.66E-03	2.19E-04	2.67E-04	2.97E-04	3.29E-04	4.00E-04
HONISCH	3.60E-03	2.52E-04	3.12E-04	3.48E-04	3.88E-04	4.75E-04
HONISCH	3.60E-03	1.95E-04	2.40E-04	2.66E-04	2.96E-04	3.58E-04
CHALK	4.00E-03	2.27E-04	2.79E-04	3.09E-04	3.42E-04	4.14E-04
CHALK	5.00E-03	2.20E-04	2.69E-04	2.99E-04	3.33E-04	4.03E-04
CHALK	5.00E-03	2.31E-04	2.84E-04	3.17E-04	3.53E-04	4.30E-04
CHALK	8.00E-03	2.15E-04	2.65E-04	2.94E-04	3.27E-04	3.97E-04
CHALK	8.00E-03	2.23E-04	2.74E-04	3.05E-04	3.37E-04	4.12E-04
CHALK	9.00E-03	2.20E-04	2.71E-04	3.02E-04	3.35E-04	4.08E-04
CHALK	1.00E-02	2.02E-04	2.48E-04	2.76E-04	3.06E-04	3.73E-04
CHALK	1.20E-02	2.15E-04	2.63E-04	2.92E-04	3.25E-04	3.94E-04
CHALK	1.40E-02	1.98E-04	2.43E-04	2.70E-04	3.00E-04	3.62E-04
HONISCH	1.45E-02	2.33E-04	2.86E-04	3.19E-04	3.54E-04	4.32E-04
HONISCH	1.45E-02	1.72E-04	2.11E-04	2.34E-04	2.58E-04	3.11E-04
CHALK	1.50E-02	1.95E-04	2.40E-04	2.67E-04	2.95E-04	3.56E-04
CHALK	1.50E-02	1.88E-04	2.31E-04	2.56E-04	2.83E-04	3.41E-04
SOSDIAN	1.70E-02	1.68E-04	2.05E-04	2.29E-04	2.54E-04	3.09E-04
CHALK	1.70E-02	1.90E-04	2.33E-04	2.58E-04	2.85E-04	3.45E-04
CHALK	1.90E-02	1.48E-04	1.81E-04	2.01E-04	2.22E-04	2.68E-04
HONISCH	2.04E-02	1.78E-04	2.18E-04	2.42E-04	2.67E-04	3.25E-04
CHALK	2.10E-02	1.74E-04	2.13E-04	2.36E-04	2.61E-04	3.15E-04
CHALK	2.30E-02	1.77E-04	2.16E-04	2.39E-04	2.64E-04	3.18E-04
CHALK	2.40E-02	1.61E-04	1.97E-04	2.18E-04	2.40E-04	2.89E-04
CHALK	2.60E-02	1.55E-04	1.90E-04	2.10E-04	2.32E-04	2.80E-04
CHALK	2.60E-02	1.52E-04	1.85E-04	2.04E-04	2.26E-04	2.73E-04
CHALK	3.60E-02	1.82E-04	2.25E-04	2.49E-04	2.76E-04	3.33E-04
