Site	Age	Co2.d	Co2.up	CO2
ODP925	0.02	238.68	250.54	247.28
ODP925	0.03	182.77	215.56	204.34
ODP925	0.03	262.39	262.61	263.50
ODP925	0.04	204.90	223.75	217.82
ODP925	0.06	213.98	233.38	227.31
ODP925	0.07	355.25	311.02	326.87
ODP925	0.09	331.29	300.66	312.08
ODP925	0.11	316.19	294.41	302.89
ODP925	0.11	343.35	307.89	320.92
ODP925	0.13	339.10	306.82	318.82
ODP925	0.15	220.49	242.54	235.54
ODP925	0.16	234.24	246.75	243.24
ODP925	0.17	314.57	286.31	296.87
ODP925	0.31	245.63	254.90	252.58
ODP925	0.43	111.34	164.84	144.44
ODP925	0.58	161.36	207.33	190.82
ODP925	0.93	131.38	179.68	161.81
ODP925	1.05	165.41	206.32	191.83
ODP925	1.19	261.81	264.63	264.63
ODP925	1.21	201.86	233.00	222.54
ODP925	1.22	232.30	250.34	244.85
ODP925	1.23	255.93	265.23	262.96
ODP925	1.25	131.82	180.29	162.37
ODP925	1.27	192.87	226.14	214.81
ODP925	1.28	152.53	198.40	181.82
ODP925	1.35	279.91	275.60	278.12
ODP925	1.64	162.07	196.84	184.69
ODP925	1.73	206.23	235.56	225.80
ODP925	1.97	190.80	227.10	214.62
ODP925	2.09	293.04	284.18	288.29
ODP925	2.19	297.47	291.26	294.50
ODP925	2.30	349.65	311.44	325.38
ODP925	2.40	391.11	332.12	352.77
ODP925	2.59	322.25	299.21	308.14
ODP925	2.60	177.28	216.03	202.50
ODP925	2.72	225.78	248.18	241.09
ODP925	2.94	181.69	222.39	208.14
ODP925	3.08	351.48	314.03	327.74
ODP925	3.13	230.27	251.93	245.13
ODP925	3.32	335.32	307.33	317.94
ODP925	3.36	254.35	260.53	259.33
ODP925	3.46	358.05	318.20	332.71
ODP925	3.51	889.90	507.46	618.64
ODP925	3.52	405.75	339.25	362.29
ODP925	3.67	411.06	338.98	363.73
ODP925	3.85	277.61	278.55	279.27
ODP925	3.99	322.10	300.69	309.09
ODP925	4.11	422.51	347.21	373.01
ODP925	4.45	713.36	460.14	537.56
ODP925	4.78	531.18	391.70	436.88
ODP925	7.15	714.92	453.24	532.65
ODP925	14.10	380.18	320.41	341.21
ODP925	14.74	1439.93	658.88	866.83
ODP925	15.84	987.69	541.89	669.52
ODP925	16.82	979.50	540.76	666.68
ODP925	18.26	1117.41	578.51	729.26
ODP925	20.30	502.85	380.86	420.88
ODP925	22.94	2056.13	795.85	1109.47
ODP999	0.20	376.91	324.71	343.19
ODP999	0.25	135.80	169.97	157.81
ODP999	0.46	164.83	198.52	186.82
ODP999	0.90	116.10	161.43	144.54
ODP999	1.00	136.78	190.73	170.64
ODP999	1.20	215.35	237.74	230.59
ODP999	1.30	222.91	255.15	244.44
ODP999	1.50	267.05	277.74	275.05
ODP999	1.75	229.14	252.93	245.36
ODP999	2.11	175.81	216.69	202.32
ODP999	2.31	238.75	266.08	257.28
ODP999	2.59	204.16	242.97	229.65
ODP999	2.79	279.94	289.40	287.20
ODP999	2.82	252.18	286.24	275.06
ODP999	2.89	296.34	301.19	300.67
ODP999	2.94	305.04	301.27	303.74
ODP999	2.99	471.74	386.95	416.05
ODP999	3.07	330.39	318.15	323.59
ODP999	3.12	319.98	323.66	323.67
ODP999	3.17	361.98	331.78	343.26
ODP999	3.23	315.24	308.02	311.71
ODP999	3.62	538.17	414.34	455.36
ODP999	3.85	484.39	394.96	425.54
ODP999	3.93	374.81	344.38	356.02
ODP999	4.03	344.54	339.98	342.93
ODP999	4.11	566.49	445.24	485.91
ODP999	4.34	652.50	480.81	536.57
ODP999	4.43	492.15	403.60	434.00
ODP999	4.58	544.46	427.48	466.67
ODP999	4.78	280.04	295.32	291.08
ODP999	4.86	310.59	309.61	311.17
ODP999	4.94	354.44	333.66	342.05
ODP999	5.04	315.50	320.28	319.89
ODP999	5.19	355.62	347.87	351.95
ODP999	4.01	870.87	552.93	649.66
ODP999	5.00	687.79	477.40	543.85
ODP999	6.00	914.78	554.17	661.74
ODP999	7.00	1282.22	661.18	834.80
ODP999	8.00	294.25	306.26	303.25
ODP999	9.31	776.99	508.84	591.45
ODP999	9.32	776.99	508.84	591.45
ODP999	10.33	381.41	350.75	362.50
ODP999	11.20	479.54	395.36	424.35
ODP999	12.46	652.59	464.47	524.55
ODP999	13.10	604.79	446.36	497.80
ODP999	14.36	1629.96	749.57	984.64
ODP999	15.76	2889.24	1011.11	1459.86
