age	CO2 	CO2.1sig
0.1132998	284.15	0.94
0.1168228	283.82	0.94
0.117126224	285.09	0.95
0.1230777	285.91	0.64
0.125255	281.36	0.94
0.1363403	284.43	0.94
0.1506636	282.80	0.79
0.1535285	280.40	1.72
0.1540565	282.30	0.63
0.1559035	281.62	0.94
0.1697001	273.07	0.41
0.1705109	280.24	0.63
0.1765445	277.86	0.94
0.1863032	276.40	0.94
0.1871218	277.16	0.63
0.1978706	278.00	0.63
0.1980684	276.46	0.94
0.2008801	277.60	0.63
0.2087428	276.81	0.94
0.216128	278.31	0.94
0.2269926	277.01	0.94
0.2271356	278.27	1.27
0.2559336	277.36	0.63
0.2602586	276.32	0.94
0.2681057	276.66	0.63
0.3009031	278.02	0.63
0.3101855	276.69	0.94
0.3214007	273.78	0.41
0.3405392	271.11	0.41
0.3465814	275.07	0.63
0.3590094	279.36	0.95
0.3618233	281.11	0.94
0.3769871	282.57	0.64
0.3901371	281.83	0.94
0.4003525	283.53	1.27
0.4203243	283.95	0.64
0.4484714	283.12	0.64
0.4806032	280.31	1.27
0.5008362	282.23	0.95
0.5211956	279.73	0.41
0.5391394	279.70	0.94
0.5596679	280.91	0.63
0.6011501	278.36	0.41
0.61988	284.07	0.64
0.6425528	281.58	0.94
0.6718032	278.43	0.41
0.6904929	282.20	0.94
0.6987306	282.41	0.63
0.739045	283.69	0.94
0.7501886	284.54	0.64
0.7840184	283.97	1.41
0.8037131	284.51	1.27
0.8343911	282.84	0.94
0.8505902	283.09	0.64
0.8797973	282.84	0.94
0.90082294	280.97	0.63
0.90992083	280.92	0.94
0.93072784	280.06	0.63
0.93242209	279.80	1.34
0.96734583	278.74	1.41
0.99234736	277.41	0.41
1.03587184	280.11	2.21
1.0745898	279.42	1.41
1.12767222	278.62	1.41
1.15689504	279.72	2.21
1.18770454	279.29	2.21
1.2195665	279.99	0.41
1.24875007	277.10	0.41
1.28082364	278.45	0.41
1.31300077	279.59	0.41
1.33547544	277.87	0.41
1.36759231	276.20	0.41
1.39253167	278.46	3.85
1.39837838	276.56	0.41
1.43204389	276.79	0.94
1.46186806	277.11	0.41
1.51306166	280.00	0.41
1.54363545	279.13	0.41
1.56577312	277.25	0.41
1.59266644	277.80	0.41
1.63245421	281.69	0.41
1.65439543	280.91	0.41
1.67555608	280.24	2.56
1.68390469	278.31	0.62
1.7093986	280.25	0.62
1.77546638	277.56	0.41
1.79646924	278.07	0.41
1.814	278.10	1.00
1.846	277.50	1.00
1.894	277.40	1.00
1.92	277.90	1.00
1.949	276.70	1.00
1.999709091	278.00	1.20
2.093359091	276.90	0.70
2.234235273	276.70	0.80
2.265549333	276.70	0.80
2.414316667	277.60	1.30
2.52612497	277.90	0.50
2.628015758	273.90	1.10
2.708475455	278.90	0.60
2.801760667	275.30	1.60
2.904546909	274.70	1.20
2.948816303	276.30	0.90
3.056604242	274.60	0.80
3.255728182	276.30	1.50
3.283661576	273.10	1.10
3.431119273	274.00	0.30
3.528287879	275.00	0.60
3.644462727	273.40	1.30
3.693407697	273.00	0.80
3.80685697	271.50	1.00
3.856166364	275.40	0.50
3.968950606	274.90	1.30
4.108666727	271.70	1.00
4.205842364	271.60	0.70
4.275076667	272.80	0.80
4.342822424	271.50	0.90
4.494362424	271.10	0.80
4.592819273	269.10	0.60
4.647462909	269.80	1.00
4.773001515	271.50	0.80
4.921201818	270.70	0.50
4.981579879	269.30	1.00
5.086789939	268.60	1.10
5.218566182	269.80	1.20
5.311175758	267.60	0.60
5.357548545	265.30	1.70
5.533289576	265.20	0.80
5.581297333	267.60	2.00
5.757606364	265.90	0.90
5.852259636	265.50	0.80
5.934091455	260.70	1.60
5.999376061	266.70	0.90
6.089807879	265.50	0.80
6.301963333	263.20	0.60
6.337206909	262.70	0.90
6.401244848	261.20	0.70
6.572291576	261.10	0.40
6.682545394	259.40	0.60
6.769652545	262.10	0.90
6.880308667	262.90	0.50
6.970077394	258.10	1.40
7.038269879	257.60	0.90
7.188070303	262.30	0.90
7.27401	263.00	0.70
7.405323818	260.70	0.60
7.497865394	258.40	0.80
7.661366364	260.10	0.60
7.719591515	260.40	0.40
7.860181636	259.70	0.90
7.926365394	259.20	0.70
7.975853939	260.80	1.40
8.116284242	259.60	0.50
8.194798788	259.30	0.90
8.351876727	258.30	1.20
8.459675758	261.30	0.90
8.546579091	260.70	0.40
8.710678182	261.80	1.00
8.781282364	259.00	1.10
8.911853879	260.90	0.70
8.992985758	260.40	0.60
9.060173939	259.30	1.00
9.143012848	262.00	0.80
9.295308848	263.70	1.20
9.36111697	263.80	0.80
9.436703455	265.20	0.90
9.51805903	260.60	1.70
9.524439455	260.90	0.60
9.555863939	263.00	0.40
9.573266606	263.80	1.20
9.901037879	264.40	0.40
9.992609576	264.20	0.90
10.13450303	264.00	0.30
10.19295455	263.40	0.10
10.29955455	265.70	0.50
10.36655576	264.90	0.40
10.50555152	267.50	0.40
