Ma	Ma_L	Ma_U	pCO2	pCO2_L1?	pCO2_U1?	pCO2_L2?	pCO2_U2?
0.1	0.3	0	282.539456	209.1791357	372.4723307	160.4256067	469.6731976
0.5	1	0	247.9830947	182.9010105	326.6182135	141.2606221	408.5830555
0.8	1	0.5	282.9169019	208.2326683	373.9831852	160.5198226	473.7742354
1.8	2	1.5	274.5163895	204.0390445	361.1773168	158.3461896	454.0541658
2.1	2.3	2	306.7872361	227.4044062	404.300006	176.5647963	509.383088
2.3	2.5	2	344.1607706	254.0772974	455.8214244	196.4800237	579.6336965
2.7	3	2.5	298.4662443	221.1739628	392.5634747	171.8895984	490.8658135
3.2	3.5	3	340.3334215	253.52148	446.0001888	197.0951422	556.9462905
3.8	4	3.5	350.4537749	260.0610195	461.6610446	202.9468589	578.8803212
4	4.2	3.8	363.7251316	268.739423	480.864565	207.861797	606.5228315
5	5.2	4.8	352.7848629	262.311012	462.0509681	204.7559467	578.0312353
5.5	5.6	5.4	376.4378263	278.7689879	496.4040066	217.1919183	626.5623164
6	6.2	5.8	374.4187874	276.8492599	492.9918353	214.2179072	621.0724799
6.25	6.5	6	379.3738781	281.5292916	499.8255045	218.4249449	628.1657009
7.25	7.5	7	351.2336071	262.1326518	461.5457715	203.4701909	573.8729377
7.75	8	7.5	368.6000608	273.4723416	485.7325064	212.1912942	611.4668424
8	11.62	5.333	319.8854109	236.2862978	421.619139	183.3350904	531.5414047
8.25	8.5	8	359.8041319	268.4232413	473.6841857	209.0227828	595.3449908
9.25	9.5	9	352.1201547	261.4767092	461.6214518	203.8263067	577.193453
9.3	9.5	9	364.3001932	271.0234427	476.371005	211.6418074	597.8249057
10.5	10.7	10.2	370.7947197	274.8566757	487.8261086	213.6379888	613.7144472
11	14	7	398.1622694	296.5542133	521.2832483	231.7608754	651.6075064
11	14	7	415.0595994	307.0698767	544.9951671	237.7631447	686.5870201
11.1	11.1	11.1	314.7693981	233.6294165	413.6240438	182.719522	519.9801565
11.3	11.3	11.3	315.3244145	234.4548661	414.249544	181.9223187	519.5021908
12	12.2	11.8	400.9504093	295.9267887	531.0197443	229.8208764	674.3448905
12.5	12.7	12.2	391.9601681	290.5125307	517.2311792	224.0523727	656.5529435
13	13.2	12.8	404.3109532	299.364042	535.4662564	231.165719	679.9890491
13.1	13.1	13.1	314.4982862	233.9363764	412.6923412	182.1356976	516.3823926
13.5	13.6	13.4	457.6157938	331.4597347	624.5107097	249.6811573	832.5613467
13.9	14.1	13.7	420.2578879	309.6689495	557.295481	238.3334013	712.1389123
14	23	5.3	378.3479878	281.5070186	495.7816875	221.2031745	617.2409595
14.3	14.5	14.2	515.9907515	370.6285707	713.3142675	276.5731745	981.545981
14.5	14.6	14.4	467.3371289	336.4371993	644.5875691	250.439419	875.4472699
14.5	14.6	14.4	473.9019243	339.4501339	654.004027	252.1442946	885.6748106
14.6	14.7	14.7	366.2109512	271.3866188	482.6502375	210.2676906	610.2361371
14.7	14.6	14.6	377.9195862	279.9346717	500.2435122	218.2015675	630.4442291
14.8	15	14.5	363.8663495	269.1985365	478.3652212	210.4843785	600.3705913
14.8	14.9	14.7	432.9068471	312.9787277	591.4407248	232.7647884	789.6952227
15	15.2	14.8	445.5128967	327.560884	593.222648	250.8359267	763.7413639
15	15	15	388.148505	287.8949539	513.8165873	223.1787731	652.077186
15	23.03	5.333	381.2501026	281.7123195	502.9503137	218.3935235	638.671169
15	23.03	5.333	477.8938205	350.908225	635.1942964	269.2285068	818.2056057
